,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
14374,14399,1,9,5,3,3,2,8,1,True
20312,20337,1,6,5,1,2,2,8,1,True
11761,11786,0,9,5,2,3,2,8,1,True
807,832,1,9,4,2,3,2,5,0,False
14488,14513,1,6,5,3,3,2,7,0,False
3161,3186,1,9,5,1,3,2,6,0,False
20476,20501,1,8,3,3,2,1,7,1,True
8793,8818,1,7,5,2,3,2,6,0,False
4989,5014,0,9,5,3,3,2,5,1,True
14064,14089,1,7,5,2,1,1,8,1,True
13204,13229,1,8,5,3,2,1,7,0,False
12955,12980,1,6,5,1,3,1,5,1,True
18488,18513,1,5,5,1,2,1,2,1,True
11410,11435,1,9,5,3,3,2,6,1,True
8751,8776,1,9,5,1,3,2,8,1,True
18730,18755,1,9,5,3,3,2,8,1,True
621,646,1,8,5,2,3,2,6,1,True
14420,14445,0,9,5,2,3,2,8,0,False
5051,5076,1,4,5,2,3,2,8,1,True
11624,11649,1,9,5,3,3,2,5,0,False
19423,19448,1,9,5,3,3,2,6,1,True
7335,7360,1,7,5,3,3,2,6,1,True
15777,15802,1,7,5,2,3,2,8,1,True
15713,15738,1,5,5,3,3,1,1,1,True
9566,9591,1,6,4,2,3,2,5,1,True
4734,4759,1,9,4,3,3,1,8,1,True
10611,10636,1,8,5,3,3,2,4,1,True
19477,19502,1,9,5,3,3,2,8,0,False
242,267,1,9,5,3,3,2,8,1,True
4461,4486,1,4,4,1,3,1,7,1,True
1006,1031,0,5,5,3,3,2,5,1,True
7643,7668,0,5,5,2,3,2,5,1,True
11889,11914,1,7,5,3,3,2,6,1,True
7399,7424,1,9,2,2,3,2,6,1,True
15939,15964,1,6,5,2,3,2,8,1,True
18837,18862,0,9,5,2,3,2,5,0,False
7950,7975,1,8,2,2,3,1,5,1,True
10238,10263,0,4,5,3,3,2,8,1,True
128,153,1,3,5,3,3,2,6,1,True
4198,4223,1,8,5,1,3,2,8,1,True
17192,17217,1,3,5,3,3,2,6,1,True
4150,4175,1,8,5,1,3,1,8,1,True
13411,13436,0,9,5,1,3,2,8,0,False
15701,15726,0,9,5,1,3,2,8,1,True
246,271,1,3,5,2,3,2,8,1,True
6228,6253,1,9,5,3,3,2,8,1,True
