,Unnamed: 0.1,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
2027,12185,12210,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,6M1A,1,True
2028,13227,13252,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,1A4A,1,True
2029,10740,10765,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,10A14A,1,True
2030,11238,11263,Femenino,Secundaria,otro,ninguno,diurno,NO,1A4A,1,True
2031,14902,14927,Masculino,Bachillerato,tiempoindeterminado,ninguno,mixto,SI,15A19A,1,True
2032,364,389,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
2033,16299,16324,Femenino,Secundaria,tiempodeterminado,sindicalizado,mixto,NO,Menos6M,1,True
2034,3571,3596,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,15A19A,1,True
2035,17919,17944,Masculino,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,10A14A,1,True
2036,392,417,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,Menos6M,0,False
2037,9243,9268,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,SI,5A9A,1,True
2038,3171,3196,Masculino,TecnicoSuperior,otro,confianza,diurno,NO,1A4A,1,True
2039,2071,2096,Femenino,Preparatoria,porObraoProyecto,confianza,diurno,SI,1A4A,1,True
2040,4312,4337,Femenino,Licenciatura,otro,confianza,diurno,NO,10A14A,1,True
2041,20855,20880,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,0,False
2042,425,450,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,0,False
2043,8117,8142,Masculino,Secundaria,tiempoindeterminado,sindicalizado,diurno,SI,5A9A,1,True
2044,11279,11304,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,1,True
2045,10418,10443,Masculino,Primaria,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1,True
2046,18827,18852,Masculino,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,6M1A,1,True
2047,777,802,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,6M1A,1,True
2048,5571,5596,Femenino,Maestria,tiempoindeterminado,ninguno,diurno,NO,1A4A,0,False
2049,319,344,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0,False
2050,219,244,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
2051,18285,18310,Masculino,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1,True
2052,325,350,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1,True
2053,17775,17800,Femenino,Bachillerato,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,1,True
2054,15102,15127,Masculino,Licenciatura,tiempoindeterminado,ninguno,mixto,SI,1A4A,1,True
2055,4546,4571,Femenino,Secundaria,tiempoindeterminado,ninguno,diurno,SI,1A4A,1,True
2056,19141,19166,Femenino,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,6M1A,1,True
2057,15661,15686,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
2058,12393,12418,Masculino,Secundaria,porObraoProyecto,ninguno,diurno,NO,5A9A,1,True
