,Id_respuesta,Id_empleado_nom35,Id_res_nom35,respuesta,date,Indice
1480,2341,60,6,3,2019-07-19,473
1481,2342,60,7,3,2019-07-19,474
1482,2343,60,8,2,2019-07-19,475
1483,2344,60,9,4,2019-07-19,476
1484,2345,60,10,4,2019-07-19,477
1485,2346,60,11,4,2019-07-19,478
1486,2347,60,12,3,2019-07-19,479
1487,2348,60,13,2,2019-07-19,480
1488,2349,60,14,3,2019-07-19,481
1489,2350,60,15,2,2019-07-19,482
1490,2351,60,16,2,2019-07-19,483
1491,2352,60,17,2,2019-07-19,484
1492,2353,60,18,2,2019-07-19,485
1493,2354,60,19,1,2019-07-19,486
1494,2355,60,20,2,2019-07-19,487
1495,2356,60,21,2,2019-07-19,488
1496,2357,60,22,1,2019-07-19,489
1497,2358,60,23,2,2019-07-19,490
1498,2359,60,24,2,2019-07-19,491
1499,2360,60,25,1,2019-07-19,492
1500,2361,60,26,2,2019-07-19,493
1501,2362,60,27,3,2019-07-19,494
1502,2363,60,28,1,2019-07-19,495
1503,2364,60,29,1,2019-07-19,496
1504,2365,60,30,1,2019-07-19,497
1505,2366,60,31,1,2019-07-19,498
1506,2367,60,32,1,2019-07-19,499
1507,2368,60,33,1,2019-07-19,500
1508,2369,60,34,2,2019-07-19,501
1509,2370,60,35,2,2019-07-19,502
1510,2371,60,36,1,2019-07-19,503
1511,2372,60,37,0,2019-07-19,504
1512,2373,60,38,1,2019-07-19,505
1513,2374,60,39,0,2019-07-19,506
1514,2375,60,40,1,2019-07-19,507
1515,2376,60,41,2,2019-07-19,508
1516,2377,60,42,0,2019-07-19,509
1517,2378,60,43,2,2019-07-19,510
1518,2379,60,44,1,2019-07-19,511
1519,2380,60,45,1,2019-07-19,512
1520,2381,60,46,1,2019-07-19,513
1521,2382,61,1,1,2019-07-19,514
1522,2383,61,2,1,2019-07-19,515
1523,2384,61,3,1,2019-07-19,516
1524,2385,61,4,2,2019-07-19,517
1525,2386,61,5,1,2019-07-19,518
1526,2387,61,6,2,2019-07-19,519
1527,2388,61,7,3,2019-07-19,520
1528,2389,61,8,2,2019-07-19,521
1529,2390,61,9,2,2019-07-19,522
1530,2391,61,10,1,2019-07-19,523
1531,2392,61,11,2,2019-07-19,524
1532,2393,61,12,1,2019-07-19,525
1533,2394,61,13,0,2019-07-19,526
1534,2395,61,14,2,2019-07-19,527
1535,2396,61,15,2,2019-07-19,528
1536,2397,61,16,2,2019-07-19,529
1537,2398,61,17,1,2019-07-19,530
1538,2399,61,18,1,2019-07-19,531
1539,2400,61,19,2,2019-07-19,532
1540,2401,61,20,1,2019-07-19,533
1541,2402,61,21,1,2019-07-19,534
1542,2403,61,22,1,2019-07-19,535
1543,2404,61,23,1,2019-07-19,536
1544,2405,61,24,1,2019-07-19,537
1545,2406,61,25,0,2019-07-19,538
1546,2407,61,26,1,2019-07-19,539
1547,2408,61,27,1,2019-07-19,540
1548,2409,61,28,0,2019-07-19,541
1549,2410,61,29,0,2019-07-19,542
1550,2411,61,30,1,2019-07-19,543
1551,2412,61,31,1,2019-07-19,544
1552,2413,61,32,2,2019-07-19,545
1553,2414,61,33,1,2019-07-19,546
1554,2415,61,34,1,2019-07-19,547
1555,2416,61,35,0,2019-07-19,548
1556,2417,61,36,0,2019-07-19,549
1557,2418,61,37,0,2019-07-19,550
1558,2419,61,38,0,2019-07-19,551
1559,2420,61,39,0,2019-07-19,552
1560,2421,61,40,1,2019-07-19,553
1561,2422,61,41,2,2019-07-19,554
1562,2423,61,42,2,2019-07-19,555
1563,2424,61,43,1,2019-07-19,556
1564,2425,61,44,1,2019-07-19,557
1565,2426,61,45,1,2019-07-19,558
1566,2427,61,46,1,2019-07-19,559
1567,2428,62,1,0,2019-07-19,560
1568,2429,62,2,2,2019-07-19,561
1569,2430,62,3,1,2019-07-19,562
1570,2431,62,4,4,2019-07-19,563
1571,2432,62,5,4,2019-07-19,564
1572,2433,62,6,4,2019-07-19,565
1573,2434,62,7,3,2019-07-19,566
1574,2435,62,8,4,2019-07-19,567
1575,2436,62,9,4,2019-07-19,568
1576,2437,62,10,3,2019-07-19,569
1577,2438,62,11,4,2019-07-19,570
1578,2439,62,12,3,2019-07-19,571
1579,2440,62,13,3,2019-07-19,572
1580,2441,62,14,4,2019-07-19,573
1581,2442,62,15,1,2019-07-19,574
1582,2443,62,16,2,2019-07-19,575
1583,2444,62,17,1,2019-07-19,576
1584,2445,62,18,0,2019-07-19,577
1585,2446,62,19,1,2019-07-19,578
1586,2447,62,20,3,2019-07-19,579
1587,2448,62,21,3,2019-07-19,580
1588,2449,62,22,0,2019-07-19,581
1589,2450,62,23,2,2019-07-19,582
1590,2451,62,24,0,2019-07-19,583
1591,2452,62,25,2,2019-07-19,584
1592,2453,62,26,2,2019-07-19,585
1593,2454,62,27,3,2019-07-19,586
1594,2455,62,28,2,2019-07-19,587
1595,2456,62,29,1,2019-07-19,588
1596,2457,62,30,2,2019-07-19,589
1597,2458,62,31,2,2019-07-19,590
1598,2459,62,32,3,2019-07-19,591
1599,2460,62,33,2,2019-07-19,592
1600,2461,62,34,2,2019-07-19,593
1601,2462,62,35,1,2019-07-19,594
1602,2463,62,36,2,2019-07-19,595
1603,2464,62,37,1,2019-07-19,596
1604,2465,62,38,2,2019-07-19,597
1605,2466,62,39,2,2019-07-19,598
1606,2467,62,40,1,2019-07-19,599
1607,2468,62,41,1,2019-07-19,600
1608,2469,62,42,1,2019-07-19,601
1609,2470,62,43,2,2019-07-19,602
1610,2471,62,44,1,2019-07-19,603
1611,2472,62,45,1,2019-07-19,604
