,Unnamed: 0,Genero,EstadoCivil,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num
5284,5284,Masculino,Casado,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,5A9A,1
12257,12257,Masculino,Casado,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,15A19A,1
5198,5198,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,mixto,SI,1A4A,1
6202,6202,Masculino,Divorciado,Secundaria,tiempoindeterminado,ninguno,diurno,SI,10A14A,1
12181,12181,Masculino,Soltero,Secundaria,tiempoindeterminado,confianza,diurno,NO,20A24A,0
20957,20957,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,0
8342,8342,Masculino,UnionLibre,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,6M1A,1
6433,6433,Femenino,Soltero,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,1
11799,11799,Masculino,Casado,Secundaria,tiempoindeterminado,confianza,mixto,SI,6M1A,0
2177,2177,Masculino,Soltero,Bachillerato,otro,sindicalizado,diurno,NO,6M1A,0
12687,12687,Masculino,Soltero,Preparatoria,tiempoindeterminado,sindicalizado,diurno,SI,1A4A,1
15054,15054,Masculino,Casado,Primaria,tiempoindeterminado,confianza,diurno,NO,1A4A,0
2937,2937,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
7134,7134,Masculino,UnionLibre,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,1
11711,11711,Femenino,Divorciado,Licenciatura,porObraoProyecto,ninguno,diurno,SI,1A4A,1
7537,7537,Masculino,UnionLibre,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,5A9A,1
10076,10076,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,SI,5A9A,1
12475,12475,Masculino,UnionLibre,SinFormacion,porObraoProyecto,ninguno,diurno,NO,1A4A,1
19286,19286,Masculino,Casado,TecnicoSuperior,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
12371,12371,Masculino,Casado,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,1A4A,0
20935,20935,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
4143,4143,Femenino,Soltero,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1
17875,17875,Femenino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
19993,19993,Masculino,Casado,Bachillerato,tiempoindeterminado,ninguno,diurno,SI,1A4A,1
2334,2334,Masculino,Casado,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,1
7576,7576,Femenino,Casado,Secundaria,tiempoindeterminado,confianza,mixto,SI,10A14A,1
20746,20746,Femenino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,1
4832,4832,Masculino,UnionLibre,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
7700,7700,Masculino,Casado,Secundaria,honorarios,confianza,diurno,NO,5A9A,0
10605,10605,Masculino,Soltero,Preparatoria,tiempoindeterminado,ninguno,diurno,SI,Menos6M,0
9090,9090,Masculino,Casado,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,10A14A,1
10888,10888,Masculino,Casado,Maestria,tiempoindeterminado,sindicalizado,diurno,NO,15A19A,1
11057,11057,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,1
14457,14457,Masculino,Soltero,Maestria,tiempoindeterminado,ninguno,diurno,NO,6M1A,1
13602,13602,Masculino,Casado,Secundaria,tiempoindeterminado,confianza,mixto,SI,10A14A,1
12549,12549,Femenino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,0
19674,19674,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
5135,5135,Masculino,Casado,SinFormacion,tiempoindeterminado,ninguno,mixto,SI,6M1A,1
19233,19233,Masculino,Casado,TecnicoSuperior,tiempoindeterminado,confianza,mixto,NO,1A4A,1
4192,4192,Masculino,Casado,Bachillerato,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,1
18864,18864,Masculino,Casado,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,0
14608,14608,Femenino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0
8425,8425,Masculino,Divorciado,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,Menos6M,1
4413,4413,Masculino,Casado,Secundaria,tiempoindeterminado,sindicalizado,diurno,SI,1A4A,1
12821,12821,Masculino,UnionLibre,Bachillerato,tiempoindeterminado,confianza,diurno,SI,1A4A,1
3045,3045,Masculino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,1
11217,11217,Masculino,UnionLibre,Primaria,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
15732,15732,Femenino,Soltero,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,Menos6M,0
12163,12163,Masculino,Divorciado,Preparatoria,tiempoindeterminado,confianza,diurno,NO,Menos6M,1
9792,9792,Femenino,Casado,Maestria,porObraoProyecto,confianza,diurno,NO,1A4A,1
13932,13932,Masculino,UnionLibre,Bachillerato,tiempoindeterminado,ninguno,mixto,SI,1A4A,1
18858,18858,Masculino,Divorciado,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
20012,20012,Masculino,UnionLibre,Secundaria,tiempoindeterminado,ninguno,mixto,SI,5A9A,1
6650,6650,Masculino,UnionLibre,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
3246,3246,Masculino,Casado,TecnicoSuperior,porObraoProyecto,ninguno,diurno,NO,1A4A,1
8764,8764,Masculino,Casado,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,6M1A,1
1453,1453,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
16547,16547,Femenino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
15690,15690,Femenino,Soltero,TecnicoSuperior,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1
20717,20717,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,0
12957,12957,Masculino,Casado,Bachillerato,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,0
19443,19443,Femenino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
