,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Resultado,Categoria,Categoria_Num
165,Femenino,Licenciatura,honorarios,confianza,diurno,NO,1A4A,64.0,Medio,1
166,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,34.0,Bajo,0
167,Masculino,Licenciatura,tiempodeterminado,confianza,nocturno,NO,1A4A,104.0,Muy Alto,1
168,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,65.0,Medio,1
169,Masculino,Licenciatura,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,104.0,Muy Alto,1
170,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0,Nulo,0
171,Masculino,Maestria,tiempoindeterminado,confianza,mixto,SI,Menos6M,92.0,Muy Alto,1
172,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,77.0,Alto,1
173,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,66.0,Medio,1
174,Masculino,Licenciatura,porObraoProyecto,ninguno,mixto,NO,Menos6M,60.0,Medio,1
175,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,100.0,Muy Alto,1
176,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,44.0,Bajo,0
177,Masculino,Licenciatura,porObraoProyecto,confianza,diurno,SI,Mas25A,46.0,Medio,1
178,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,53.0,Medio,1
179,Masculino,SinFormacion,porObraoProyecto,sindicalizado,mixto,SI,Menos6M,44.0,Bajo,0
180,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,0.0,Nulo,0
181,Femenino,Preparatoria,otro,ninguno,diurno,NO,Menos6M,40.0,Bajo,0
182,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,46.0,Medio,1
183,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,6M1A,27.0,Bajo,0
184,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,1A4A,67.0,Medio,1
185,Femenino,Secundaria,tiempoindeterminado,confianza,diurno,NO,6M1A,61.0,Medio,1
186,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,58.0,Medio,1
187,Masculino,Licenciatura,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,46.0,Medio,1
188,Masculino,Maestria,tiempoindeterminado,confianza,diurno,SI,5A9A,114.0,Muy Alto,1
189,Masculino,Maestria,tiempoindeterminado,confianza,diurno,SI,5A9A,105.0,Muy Alto,1
190,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,34.0,Bajo,0
191,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,55.0,Medio,1
192,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,68.0,Medio,1
193,Femenino,Licenciatura,otro,confianza,diurno,NO,1A4A,73.0,Alto,1
194,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,68.0,Medio,1
195,Femenino,Preparatoria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,47.0,Medio,1
196,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,82.0,Alto,1
197,Masculino,Licenciatura,porObraoProyecto,confianza,diurno,NO,1A4A,33.0,Bajo,0
198,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,5A9A,71.0,Alto,1
199,Masculino,Maestria,tiempodeterminado,confianza,diurno,NO,1A4A,92.0,Muy Alto,1
